QUANDO ATTACCA, NON SMETTE DI SUCCHIARE ENERGIA SEBBENE DIVENTI TROPPO PESANTE PER VOLARE.
ATTACCA IN MODO REPENTINO E FURTIVO. USA I DENTI AGUZZI PER MORDERE E SUCCHIARE SANGUE.
PER QUANTO DURA SIA LA PELLE DELLA VITTIMA, LA FORA CON LE ZANNE AFFILATE MACCHIANDOSI DI SANGUE.
PUÒ BERE PIÙ DI 300 CC DI SANGUE ALLA VOLTA. SE NE BEVE TROPPO, SI APPESANTISCE E VOLA GOFFAMENTE.
GOLBAT ADORA BERE IL SANGUE DI CREATURE VIVENTI. È PARTICOLARMENTE ATTIVO DI NOTTE, NELLA TOTALE OSCURITÀ. SVOLAZZA NEL CIELO NOTTURNO IN CERCA DI SANGUE FRESCO.
GOLBAT AZZANNA I NEMICI CON I SUOI QUATTRO CANINI E NE BEVE IL SANGUE. È PARTICOLARMENTE ATTIVO NEL BUIO PESTO DELLE NOTTI SENZA LUNA E VOLA ATTACCANDO LE PERSONE E GLI ALTRI POKÉMON.
CON I SUOI DENTI AFFILATI, GOLBAT RIESCE A MORDERE E A SUCCHIARE IL SANGUE DI PREDE DALLA PELLE DURISSIMA. SI AGGIRA NEL BUIO PESTO E ATTACCA IL NEMICO ALLE SPALLE.
AFFONDA NELLA PREDA I DENTI AFFILATI, RIUSCENDO A SUCCHIARE 300 CC DI SANGUE ALLA VOLTA.
AMA IL SANGUE UMANO E QUELLO DEI POKÉMON. VOLA NEL BUIO DELLA NOTTE IN CERCA DI VENE DA SUCCHIARE.
QUANDO INIZIA A SUCCHIARE SANGUE, NON SMETTE FINCHÉ NON È SAZIO. VOLA DI NOTTE IN CERCA DI PREDE.
I SUOI DENTI AFFILATI PENETRANO ANCHE LE PELLI PIÙ DURE E HANNO DEI FORI PER SUCCHIARE IL SANGUE.
PUÒ BERE PIÙ DI 300 ML DI SANGUE ALLA VOLTA. SE NE BEVE TROPPO, SI APPESANTISCE E VOLA GOFFAMENTE.
ATTIVO SOPRATTUTTO DURANTE LA NOTTE, AFFONDA I SUOI DENTI NELLA CARNE DELLA PREDA, SUCCHIANDONE VIA IL SANGUE.
GOLBAT ADORE BERE IL SANGUE DI CREATURE VIVENTI. É PARTICOLARMENTE ATTIVO DI NOTTE, NELLA TOTALE OSCURITÀ. SVOLAZZA NEL CIELO NOTTURNO IN CERCA DI SANGUE FRESCO.
I SUOI GROSSI CANINI SONO CAVI COME CANNUCCE E SORPRENDENTEMENTE FRAGILI. SE NE SERVE PER SUCCHIARE IL SANGUE.
SE SUCCHIA TROPPO SANGUE, NON RIESCE PIÙ A VOLARE E CADE A TERRA DIVENTANDO PREDA DI ALTRI POKÉMON.
A VOLTE SI VEDONO DEI GOLBAT SENZA CANINI PERCHÉ, SPINTI DALLA FAME, HANNO PROVATO AD AZZANNARE UN POKÉMON DI TIPO ACCIAIO.
PUÒ SUCCHIARE 300 CC DI SANGUE IN UN COLPO SOLO. QUANDO NE SUCCHIA TROPPO, NON RIESCE PIÙ A VOLARE.
