NELLA LOTTA USA LA SPIRALE SULLA PANCIA PER IPNOTIZZARE I SUOI NEMICI, POI SI DÀ ALLA FUGA.
LA SPIRALE DISEGNATA SULLA PANCIA GIRA PIANO. FISSANDOLA, SI CADE LENTAMENTE ADDORMENTATI.
HA LA PELLE UMIDA SU GRAN PARTE DEL CORPO. QUELLA DELLA SPIRALE CHE HA SULLA PANCIA È LISCIA.
LA SUPERFICIE DEL CORPO DI POLIWHIRL È SEMPRE UMIDA E UNTA DI FLUIDO OLEOSO. GRAZIE A QUESTA PELLICOLA VISCIDA, IN LOTTA RIESCE A SFUGGIRE AGILMENTE ALLE GRINFIE DEL NEMICO.
IL CORPO DI POLIWHIRL È SEMPRE UMIDO E UNTO DI FLUIDO OLEOSO. GRAZIE A TALE PELLICOLA VISCIDA, IN LOTTA RIESCE A SFUGGIRE AGILMENTE ALLE GRINFIE DEL NEMICO.
IL DISEGNO SPIRALIFORME SULLA PANCIA ONDEGGIA LEGGERMENTE. CHI LO FISSA, PIANO PIANO SI ASSOPISCE.
LA SUPERFICIE DEL CORPO DI POLIWHIRL È SEMPRE UMIDA E UNTA DI FLUIDO OLEOSO. GRAZIE A QUESTA PELLICOLA VISCIDA, NELLA LOTTA RIESCE A SFUGGIRE AGILMENTE ALLE GRINFIE DEL NEMICO.
PUÒ VIVERE ANCHE SULLA TERRAFERMA, MA PREFERISCE STARE IN ACQUA, DOVE HA MENO NEMICI NATURALI.
CAMMINA LENTAMENETE SULLA TERRAFERMA IN CERCA DI POKÉMON DI TIPO COLEOTTERO DI CUI CIBARSI. MANGIA SOLO IN ACQUA, DOVE SI SENTE PIÙ AL SICURO.
SI È ADATTATO ANCHE ALLA TERRAFERMA, MA PASSA LA MAGGIOR PARTE DEL TEMPO IN ACQUA, DOVE TROVA MOLTI POKÉMON ACQUATICI DI CUI CIBARSI.
SE LA SUA PELLE SI SECCA, PERDE VITALITÀ, QUINDI È IMPORTANTE ASSICURARSI CHE SIA COSTANTEMENTE IDRATATO.
QUANDO SI SENTE IN PERICOLO USA LA SPIRALE CHE HA SULLA PANCIA PER ADDORMENTARE GLI AVVERSARI, POI SI DÀ ALLA FUGA.
