DOVE 2 TIPI DI GAS VELENOSI SI INCONTRANO, 2 KOFFING POSSONO FONDERSI IN UN WEEZING.
VIVE E CRESCE ASSORBENDO IL GAS TOSSICO, I GERMI E LA POLVERE CHE SI TROVANO NELLE DISCARICHE.
I SUOI VELENOSI GAS INTERNI DILUITI AL MASSIMO SONO USATI PER PRODURRE PROFUMI PREGIATISSIMI.
QUANDO INSPIRA GAS VELENOSI DAI RIFIUTI, IL CORPO, SI GONFIA E IL SUO INTERNO È ANCORA PIÙ MALEODORANTE.
WEEZING ADORA I GAS EMANATI DAI RESTI ALIMENTARI IN DECOMPOSIZIONE. SI SENTE A SUO AGIO IN CASE SUDICIE E MALTENUTE. LA NOTTE, MENTRE DORMONO TUTTI, LUI SI AGGIRA FURTIVO TRA I RIFIUTI DOMESTICI.
UNA RARISSIMA MUTAZIONE PUÒ TRASFORMARE DUE KOFFING GEMELLI IN UN WEEZING.
QUANDO DUE TIPI DI GAS VELENOSI VENGONO A CONTATTO, DUE KOFFING POSSONO FONDERSI IN UN WEEZING.
CRESCE NUTRENDOSI DEI GAS EMANATI DAI RIFIUTI. ANCHE SE RARISSIMI, NE HANNO TROVATI IN GRUPPI DI TRE.
ASPIRA I GAS TOSSICI EMANATI DAI RIFIUTI, LI MISCELA DENTRO IL SUO CORPO E VA IN GIRO RILASCIANDO UN OLEZZO TERRIFICANTE.
VIVE ASSORBENDO I GAS TOSSICI, I GERMI E LA POLVERE CHE SI TROVANO NEI RIFIUTI.
